_id,age_certification,description,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5],genres[6],genres[7],genres[8],id,production_countries[0],production_countries[1],production_countries[2],production_countries[3],production_countries[4],production_countries[5],production_countries[6],release_year,runtime,title,type,imdb_score,imdbScore,ageCertification,productionCountries[0],productionCountries[1],releaseYear,__v
66f562d6595d90b3b3fedd42,,"In 1967, New York City is host to the Miss All-American Camp Beauty Pageant. This documentary takes a look behind the scenes, transporting the viewer into rehearsals and dressing rooms as the drag queen subculture prepares for this big national beauty contest. Jack/Sabrina is the mistress of ceremonies, and their protégé, Miss Harlow, is in the competition. But, as the pageant approaches, the glamorous contestants veer from camaraderie to tension.",documentation,,,,,,,,,tm14491,US,,,,,,,1968,68,The Queen,MOVIE,7.2,,,,,,
66f562d6595d90b3b3fedd43,PG,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",documentation,history,european,,,,,,,tm89386,DE,,,,,,,1977,150,Hitler: A Career,MOVIE,7.5,,,,,,
66f562d6595d90b3b3fedd44,R,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",comedy,documentation,music,,,,,,,tm156453,US,,,,,,,1972,97,FTA,MOVIE,6.2,,,,,,
66f562d6595d90b3b3fedd45,,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",drama,war,action,history,romance,,,,,tm27298,EG,,,,,,,1963,186,Saladin the Victorious,MOVIE,7.6,,,,,,
66f562d6595d90b3b3fedd46,,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",drama,thriller,crime,,,,,,,tm356209,IN,,,,,,,1960,158,Singapore,MOVIE,6.4,,,,,,
66f562d6595d90b3b3fedd47,,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",drama,action,romance,thriller,,,,,,tm204541,EG,,,,,,,1956,120,Dark Waters,MOVIE,6.7,,,,,,
66f562d6595d90b3b3fedd48,,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",drama,,,,,,,,,tm14350,EG,,,,,,,1979,133,Alexandria… Why?,MOVIE,7.2,,,,,,
66f562d6595d90b3b3fedd49,,"Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922. Women are disappearing without a trace in what looked like the work of a serial killer. Being Egypt's first ever case of serial killings, the police is relentless and assigns the case to their best inspector. He traces the leads to sisters Raya and Sekina, but it becomes a race against time before they kill again.",drama,thriller,crime,history,,,,,,tm102287,EG,,,,,,,1953,105,Raya and Sakina,MOVIE,6.8,,,,,,
66f562d6595d90b3b3fedd4a,,"By coincidence, Ahmad discovers that his father, Ramada Al Sokkary has a love letter in his suit case, which reveals his love to a woman other than his mother. Ahmad tries with his brothers and sister to find out the reasons that made their father look for another woman. The play shows the amusing acts the children undertake to save their family.",comedy,drama,,,,,,,,tm76557,EG,,,,,,,1979,235,No Longer Kids,MOVIE,9,,,,,,
66f562d6595d90b3b3fedd4b,,"After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",fantasy,,,,,,,,,tm71909,IN,,,,,,,1966,120,Amrapali,MOVIE,6.7,,,,,,
